mileage,make,model,fuel,gear,offerType,price,hp,year,make_model
53000,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,8999,105,2014,SkodaRapid/Spaceback
53286,Skoda,Fabia,Gasoline,Manual,Used,9100,86,2014,SkodaFabia
55000,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,9300,105,2014,SkodaRapid/Spaceback
166554,Skoda,Superb,Diesel,Manual,Used,10490,170,2015,SkodaSuperb
35450,Skoda,Citigo,Gasoline,Manual,Used,6445,60,2017,SkodaCitigo
86747,Skoda,Fabia,Gasoline,Manual,Used,7900,86,2012,SkodaFabia
147500,Skoda,Superb,Diesel,Manual,Used,7900,140,2012,SkodaSuperb
100000,Skoda,Octavia,Gasoline,Manual,Used,7980,122,2012,SkodaOctavia
35000,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,8500,105,2013,SkodaRapid/Spaceback
84000,Skoda,Yeti,Diesel,Manual,Used,8888,110,2013,SkodaYeti
68220,Skoda,Citigo,Gasoline,Manual,Used,8900,75,2015,SkodaCitigo
53000,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,8990,86,2015,SkodaRapid/Spaceback
53000,Skoda,Fabia,-/- (Fuel),Manual,Used,8990,110,2015,SkodaFabia
285000,Skoda,Octavia,Diesel,Automatic,Used,9000,184,2015,SkodaOctavia
82000,Skoda,Fabia,Gasoline,Manual,Used,8850,110,2016,SkodaFabia
57644,Skoda,Fabia,Gasoline,Manual,Used,8850,90,2016,SkodaFabia
69934,Skoda,Fabia,Diesel,Manual,Used,8890,90,2016,SkodaFabia
78588,Skoda,Fabia,Gasoline,Manual,Used,7990,60,2017,SkodaFabia
45401,Skoda,Citigo,Gasoline,Manual,Used,7990,75,2017,SkodaCitigo
44626,Skoda,Octavia,Gasoline,Manual,Used,19940,179,2018,SkodaOctavia
84800,Skoda,Citigo,Gasoline,Manual,Used,6850,60,2018,SkodaCitigo
322418,Skoda,Octavia,Diesel,Automatic,Used,4900,140,2012,SkodaOctavia
73350,Skoda,Citigo,Gasoline,Manual,Used,5180,60,2013,SkodaCitigo
37200,Skoda,Citigo,Gasoline,Manual,Used,6000,60,2015,SkodaCitigo
118000,Skoda,Fabia,Diesel,Manual,Used,6000,90,2015,SkodaFabia
87370,Skoda,Fabia,Gasoline,Manual,Used,6199,86,2015,SkodaFabia
434000,Skoda,Superb,Diesel,Automatic,Used,4200,170,2011,SkodaSuperb
